Epoch,Train_loss,Test_acc
1,1.051450822163712,0.5052674230145867
2,0.578044039185171,0.747163695299838
3,0.46139027405675354,0.6876012965964343
4,0.4230337952106417,0.6551863857374393
5,0.3758064843714237,0.756482982171799
6,0.3568237142322899,0.7491896272285251
7,0.3307078627555014,0.7726904376012966
8,0.3086765275348897,0.8144246353322528
9,0.2965805275704373,0.7013776337115073
10,0.28547472705121163,0.8464343598055105
11,0.2833712124084304,0.8221231766612642
12,0.2570873238872011,0.8517017828200972
13,0.2601808967407454,0.8399513776337115
14,0.26317055327454947,0.8338735818476499
15,0.23752645885438792,0.8091572123176661
16,0.23230062908940502,0.8140194489465153
17,0.21901740387759425,0.8602106969205835
18,0.2156425050532373,0.8075364667747164
19,0.22341495654969054,0.8452188006482982
20,0.20472152470671512,0.8581847649918962
21,0.1990985432639718,0.8577795786061588
22,0.1952052814281219,0.8687196110210696
23,0.1919237589524067,0.8565640194489466
24,0.19124113064404433,0.8512965964343598
25,0.1910193846258637,0.8711507293354943
26,0.17439025488694188,0.8626418152350082
27,0.17758612162373089,0.8922204213938412
28,0.17409188689228583,0.8938411669367909
29,0.1678923920262605,0.8508914100486223
30,0.15893073960255782,0.8752025931928687
31,0.15994324781569083,0.8723662884927067
32,0.16334339442916893,0.8804700162074555
33,0.14818438759085711,0.8525121555915721
34,0.147493210019447,0.8958670988654781
35,0.14495578986084598,0.8865478119935171
36,0.14473514714166402,0.8849270664505673
37,0.14933569103709193,0.8938411669367909
38,0.13999316180064403,0.8853322528363047
39,0.13093029832400913,0.8922204213938412
40,0.13296817020549404,0.8954619124797407
41,0.13840681869331023,0.8841166936790924
42,0.13330311961048705,0.8788492706645057
43,0.12593272187468874,0.8893841166936791
44,0.12173703043304335,0.8594003241491086
45,0.12164935859391926,0.8792544570502431
46,0.11616038463937191,0.8865478119935171
47,0.11795626642475776,0.8448136142625607
48,0.11617083995687691,0.8881685575364667
49,0.11945126286719913,0.8885737439222042
50,0.11122903779947332,0.8922204213938412
